Code;impact_code;Impacts ;Type of impact;type_s;Drivers;driver_s;Area_NS;Risk;Consequences;Exposure;Fishery;Mediterranean area;Area
1;1;Catches composition;Fisheries resources;FR;Increase in SST;SST;North;16;4;4;Pelagic;Western;Western (North)
2;2;Species geographic distribution;Fisheries resources;FR;Increase in SST;SST;North;12;3;4;Pelagic;Western;Western (North)
3;3;Species bathymetric distribution;Fisheries resources;FR;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
4;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in SST;SST;North;12;3;4;Pelagic;Western;Western (North)
5;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in SST;SST;North;12;3;4;Pelagic;Western;Western (North)
6;6;Species phenology;Fisheries resources;FR;Increase in SST;SST;North;6;2;3;Pelagic;Western;Western (North)
7;7;Trophic structure;Fisheries resources;FR;Increase in SST;SST;North;2;1;2;Pelagic;Western;Western (North)
8;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in SST;SST;North;4;1;4;Pelagic;Western;Western (North)
9;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in SST;SST;North;4;2;2;Pelagic;Western;Western (North)
10;10;Presence of non-native species;Fisheries resources;FR;Increase in SST;SST;North;16;4;4;Pelagic;Western;Western (North)
11;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
12;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
13;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
14;14;Efficiency of gears;Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
15;15;Fishing trips/days at sea;Fishing operations;FO;Increase in SST;SST;North;6;2;3;Pelagic;Western;Western (North)
16;16;Landing value;Communities and livelihoods;CL;Increase in SST;SST;North;16;4;4;Pelagic;Western;Western (North)
17;17;Employment rate female;Communities and livelihoods;CL;Increase in SST;SST;North;4;2;2;Pelagic;Western;Western (North)
18;18;Employment rate male;Communities and livelihoods;CL;Increase in SST;SST;North;9;3;3;Pelagic;Western;Western (North)
19;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in SST;SST;North;4;2;2;Pelagic;Western;Western (North)
20;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
21;21;Cultural and heritage;Communities and livelihoods;CL;Increase in SST;SST;North;9;3;3;Pelagic;Western;Western (North)
22;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in SST;SST;North;8;2;4;Pelagic;Western;Western (North)
23;23;Health issues;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
24;24;Food security;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
25;25;Recreational fisheries;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
26;26;National income;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
27;27;Tourism activities;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Western;Western (North)
28;1;Catches composition;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
29;2;Species geographic distribution;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
